time,open,high,low,close
2023-01-17,540,545,538.5,538.5
2023-01-18,538.5,538.5,528,528.5
2023-01-19,528.5,528.5,528.5,528.5
2023-01-20,528,534.5,528,529.5
2023-01-23,529.5,529.5,529.5,529.5
2023-01-24,545,565,545,564.5
2023-01-25,568,577.5,560,565
2023-01-26,600,616,599.5,605.5
2023-01-27,611,625,576.5,589.5
2023-01-30,592.5,615,590,615
2023-01-31,605,622.5,605,622.5
2023-02-01,627,627,608,611
2023-02-02,603,605,601,605
2023-02-03,590,590,590,590
2023-02-06,577,581,577,581
2023-02-07,580.5,580.5,558.5,559
2023-02-08,555,555,548,548
2023-02-09,540.5,543,536,536
2023-02-10,536,536,521,521.5
2023-02-13,519,519,510,512.5
2023-02-14,506,506,505.5,505.5
2023-02-15,497.5,503,495,498
2023-02-16,500.5,509,495,497.5
2023-02-17,494,495,488,495
2023-02-21,490.5,493,490,490
2023-02-22,488,490,485,490
2023-02-23,490,490,482.5,485.5
2023-02-24,484,492,484,492
2023-02-27,498,515,496,502
2023-02-28,520,520,510.5,510.5
2023-03-01,500.5,511.5,477.5,477.5
2023-03-02,465,465,454,455
2023-03-03,436,450,436,450
2023-03-06,460,460,460,460
2023-03-07,460,465,460,460
2023-03-08,455,460,455,460
2023-03-09,450,450,450,450
2023-03-10,450,450,450,450
2023-03-13,502.5,522,502,514
2023-03-14,520,532.5,514.5,516
2023-03-15,510,517,506,514.5
2023-03-16,519.5,550.5,519,542
2023-03-17,545,553.5,536.5,545.5
2023-03-20,546,560,530,537.5
2023-03-21,538,544,535.5,538
2023-03-22,532,532.5,525,529
2023-03-23,525.5,525.5,506.5,512.5
2023-03-24,514.5,515,509,510
2023-03-27,509.5,516,498,507
2023-03-28,500,500,490,490.5
2023-03-29,491.5,497.5,482.5,484
2023-03-30,488,498,481,485
2023-03-31,483.5,502,480.5,483
2023-04-03,488,488,483.5,487
2023-04-04,488.5,498,486,490
2023-04-05,499,505,494,499.5
2023-04-06,494.5,500.5,489.5,492.5
2023-04-10,492.5,502.5,492,492.5
2023-04-11,498.5,504,496,499.5
2023-04-12,502.5,508,500,507
2023-04-13,508,523,508,520
2023-04-14,524,526,520,522
2023-04-17,523,537,520,522
2023-04-18,509.5,509.5,496,496
2023-04-19,495.5,500,489.5,500
2023-04-20,507,512,494.5,500.5
2023-04-21,502.5,502.5,490.5,496.5
2023-04-24,496,496,488,488
2023-04-25,488,490,480.5,480.5
2023-04-26,480,480,465.5,466
