time,open,high,low,close
2023/11/16,764,778,760.8,776.1
2023/11/17,772,773,745.3,761.9
2023/11/20,770,780.8,758.5,758.9
2023/11/21,750.4,764.3,730.1,734
2023/11/22,736,742.8,726,738.3
2023/11/23,736.3,739.4,720,733.6
2023/11/24,736,770,735,758.9
2023/11/27,770,778.8,756.7,767
2023/11/28,764,796,757.5,786.2
2023/11/29,795,808.1,775.5,790.3
2023/11/30,794.5,843,786.4,829
2023/12/1,828,852.4,805,818.5
2023/12/4,826.9,858,808,824.4
2023/12/5,819,838,751.9,796
2023/12/6,799,815,782,810.4
2023/12/7,806,876,801.1,870.1
2023/12/8,875.7,898,859.4,894
2023/12/11,904.2,914.7,880.2,900.4
2023/12/12,917,923,888.2,909.9
2023/12/13,900.1,905,872.2,893
2023/12/14,903,931.3,883,886
2023/12/15,890,899.9,878,899.2
2023/12/18,979.7,979.7,953,979.7
2023/12/19,1088,1095.1,1030,1092.9
2023/12/20,1110,1168.4,1075,1168.4
2023/12/21,1166.9,1236.8,1150.3,1236.8
2023/12/22,1278.4,1391.2,1262.8,1391.2
2023/12/25,1348.5,1416,1163.8,1330
2023/12/26,1330,1498.7,1314.3,1498.7
2023/12/27,1587.7,1744.9,1552,1744.9
2023/12/28,1660,1849,1570,1719.4
2023/12/29,1671.2,1700,1510,1643
2024/1/2,1850,1924.8,1850,1924.8
2024/1/3,2345,2353.9,2216.6,2353.9
2024/1/4,2549.8,2650,2110.3,2446.4
2024/1/5,2379,2380,2187.8,2275.5
2024/1/8,2335.4,2430,2129,2177.5
2024/1/9,1900,1900,1773.4,1773.4
2024/1/10,1512,1895,1506,1773.7
2024/1/11,1848,1899,1754,1809
2024/1/12,2006.7,2173.5,1900.3,2157.1
2024/1/15,2300,2341.3,2056,2068.3
2024/1/16,2269.8,2269.8,2020,2039.6
2024/1/17,2015,2145,1900,1926.8
2024/1/18,1950,1999,1888,1965.2
2024/1/19,1985.6,1999,1850.7,1867.6
2024/1/22,1820,1988,1755,1982.2
2024/1/23,1991.1,2099,1892,2025.1
2024/1/24,2000,2076.5,1957.7,1978.7
2024/1/25,1978.8,2030,1948.8,1980.5
2024/1/26,1998.8,2063.8,1950,1973.6
2024/1/29,1974,1998,1883,1908
2024/1/30,1900,1987,1850,1939.6
2024/1/31,1950,1972,1859.6,1924.9
2024/2/1,1900,1925,1881,1910.2
2024/2/2,1808,1860,1651.6,1701.5
2024/2/5,1750,1830,1719.3,1769.6
2024/2/6,1780,1810.9,1755.2,1808.7
2024/2/7,1846,2138.6,1830.6,2063
2024/2/8,2064,2160,2040,2107.8
2024/2/19,2150,2220,2120,2189.9
2024/2/20,2149.9,2170,2030,2045.1
2024/2/21,2030,2129.9,1983,2054.1
2024/2/22,2049.9,2077.6,2000,2054.7
2024/2/23,2049.9,2100,2024,2045
2024/2/26,2002,2020,1940,1965.5
2024/2/27,1949.9,1949.9,1862,1878
2024/2/28,1886,1945,1886,1931.7
2024/2/29,1931.3,1938,1890,1904
2024/3/1,1800,1855.4,1758,1780
2024/3/4,1802,1857,1731.8,1831
2024/3/5,1850,1891.2,1795,1802.5
2024/3/6,1731,1818.5,1731,1781.6
2024/3/7,1802,1866.1,1781.4,1794.3
2024/3/8,1808,1840.6,1802,1824
2024/3/11,1829.5,1899,1806.2,1815
2024/3/12,1755,1813,1755,1803.5
2024/3/13,1790,1830,1760,1794.9
2024/3/14,1830,1855,1760.2,1776
2024/3/15,1799,1820,1696,1797.2
2024/3/18,1791.8,1859.3,1778.2,1826.1
2024/3/19,1908,1939.4,1861,1918
2024/3/20,1925,1950,1880,1910.9
2024/3/21,1935,2141.5,1913,2096.3
2024/3/22,2084.9,2122.6,1991.5,2010.1
2024/3/25,1830.3,1952,1816,1922.9
2024/3/26,1872.9,1896,1750,1786.9
2024/3/27,1810,1860,1730,1846.8
2024/3/28,1846.8,1878.5,1781,1815
2024/3/29,1805,1859,1765.5,1833.6
2024/4/1,1848.8,1913,1826,1875.3
2024/4/2,1901,2049.9,1901,2042.5
2024/4/3,2050,2098.7,2002,2047.1
2024/4/8,1906.3,2014.2,1868,1952.6
2024/4/9,1961.2,2009.9,1955,1970.9
2024/4/10,2050,2108,2030.2,2081
2024/4/11,2100,2125,2038.2,2054.8
2024/4/12,2125,2192.8,2062,2192
2024/4/15,2230,2288,2155,2287
2024/4/16,2294.1,2345.2,2233,2276.2
2024/4/17,2285,2345,2215,2337.1
2024/4/18,2319.9,2436,2297.7,2433
2024/4/19,2440,2740,2420.1,2629.2
2024/4/22,2629.9,2704,2512,2573.1
2024/4/23,2639.4,2649.2,2500,2557
2024/4/24,2565.1,2692,2532,2681.6
2024/4/25,2750,2871.7,2681.1,2815
2024/4/26,2838,2999,2766,2981.4
2024/4/29,2981.4,2998.5,2622,2784.3
2024/4/30,2870.1,2989,2811.2,2982.6
2024/5/6,2985.1,3104,2914,3100.9
2024/5/7,3103.2,3149,3012,3098.9
2024/5/8,3120,3196.5,3055.8,3195
2024/5/9,3165.6,3509.9,3165.6,3486.2
2024/5/10,3500,3620,3389,3576
2024/5/13,3560,4034.3,3560,4008.9
2024/5/14,4000,4020,3630,3728.2
2024/5/15,3860,4038,3668,4033.5
2024/5/16,4260.1,4321.9,3900,3931
2024/5/17,4100,4110,3834,4003.5
2024/5/20,4070,4194.9,3870,4191.5
2024/5/21,4200,4362,4071.9,4288.9
2024/5/22,4300,4317.1,4081.3,4145
2024/5/23,4120,4183,3956,4128
2024/5/24,4183,4244.5,4101,4229.3
2024/5/27,4280,4329,4205,4313.1
2024/5/28,4330,4444,4165,4193.4
2024/5/29,4190,4297,4110,4260
2024/5/30,4240,4314,4095,4138
2024/5/31,4138,4301,4075.8,4297.5
2024/6/3,4280,4391.2,4100,4188.6
2024/6/4,4248,4635,4177,4614.9
2024/6/5,4600,4600,4380,4480
2024/6/6,4496,4628,4489,4592
2024/6/7,4546,4739,4546,4728.2
2024/6/11,4720,4798.9,4200,4419.5
2024/6/12,4434.1,4579,4333,4570.3
2024/6/13,4671,4680,4462,4650.9
2024/6/14,4690,4750,4631,4744.8
2024/6/17,4750.1,4845,4620,4834
2024/6/18,4930.1,5028,4868,5028
2024/6/19,5022.9,5059,4887.9,4917.4
2024/6/20,4950,5300.3,4940,5297.9
2024/6/21,5276,5298,5111,5289.8
2024/6/24,5288,5422.5,5235,5399
2024/6/25,5300,5338.2,5225,5294.9
2024/6/26,5230,5275,5058.6,5149.2
2024/6/27,5100,5215,5033,5197.9
2024/6/28,5215,5293,5160,5226
2024/7/1,5320,5385,5217.3,5322
2024/7/2,5458.8,5579.1,5388,5575
2024/7/3,5555,5650,5528,5632.2
2024/7/4,5588,5811,5541,5788.8
2024/7/5,5675.1,5772.3,5500,5700.9
2024/7/8,5597.9,5598,5375,5430
2024/7/9,5475,5618,5470,5604.8
2024/7/10,5700,5799,5671.6,5745.3
2024/7/11,5728,5743.8,5322,5488
2024/7/12,5515,5550,5350,5499.9
2024/7/15,5587,5664.3,5460,5600
2024/7/16,5800,5800,5641.5,5793
2024/7/17,4388.8,4499,4210,4245.5
2024/7/18,4200,4220,3853.1,3894.5
2024/7/19,3800,3845,3610,3675
2024/7/22,3699,3796,3350.7,3381.9
2024/7/23,3514,3656,3233,3374.9
2024/7/24,3400,3630,3305,3618.4
2024/7/25,3618.4,3820,3465,3722.3
2024/7/26,3732.1,3800,3501,3655.1
2024/7/29,3760,4074,3670,3926
2024/7/30,3871,3900,3588,3663
2024/7/31,3610,3810,3470,3505.3
2024/8/1,3505.3,3575,3394,3515
2024/8/2,3489,3677.9,3460,3653
2024/8/5,3601,3709,3506.7,3584.7
2024/8/6,3615,3678,3553.1,3626.7
2024/8/7,3322.3,3328,3188,3206.7
2024/8/8,3022.5,3099.8,2733,2754.9
2024/8/9,2739,2859,2624.8,2749.5
2024/8/12,2789,2849.8,2740.3,2832
2024/8/13,2888,3029.2,2767,2818.1
2024/8/14,2700,2785,2630,2727.2
2024/8/15,2650,2715,2568,2663.7
2024/8/16,2677,2800,2662,2677
2024/8/19,2688,2750,2435,2526
2024/8/20,2500,2618,2415.2,2582
2024/8/21,2580,2668,2480,2649
2024/8/22,2660,2797,2611,2729.2
2024/8/23,2700,2750,2605,2643
2024/8/26,2656.2,2785.9,2643,2744.4
2024/8/27,2699,2699,2520,2575
2024/8/28,2560,2565,2420,2420
2024/8/29,2350,2475.9,2320,2433.1
2024/8/30,2400,2458.7,2250,2250.1
2024/9/2,2218.3,2249.9,2075.3,2076.7
2024/9/3,2098,2222,2066,2134.9
2024/9/4,2110,2117.9,2001.6,2010
2024/9/5,2010,2055,1722.1,1850
2024/9/6,1850,1858,1680.6,1735
2024/9/9,1713.8,1713.8,1576,1607.5
2024/9/10,1593.9,1803,1590.3,1714.9
2024/9/11,1688.8,1950,1609.4,1916.7
2024/9/12,1915,1916,1770.3,1820.2
2024/9/13,1810,1862.7,1750,1790
2024/9/18,1702,1750,1666.6,1692
2024/9/19,1735,1788,1651,1739
2024/9/20,1702.9,1749.3,1681,1691.6
2024/9/23,1694.9,1879.9,1693.6,1800.7
2024/9/24,1791.6,2075.3,1782.1,2014.3
2024/9/25,2050,2230,1951.8,1985.1
2024/9/26,1979,2069,1928,2025.4
2024/9/27,2066,2215,2050.2,2141.2
2024/9/30,2396.8,2540.4,2235.5,2540.4
2024/10/8,2250,2270,1825.8,1900
2024/10/9,1850,1975,1816,1926
2024/10/10,1940,2191.1,1938,2191.1
2024/10/11,2492.9,2494.3,2345,2494.3
2024/10/14,2560,2894.5,2505,2660
2024/10/15,2660,2798,2550,2768.8
2024/10/16,2769,2924.8,2741,2836
2024/10/17,2836,2918,2655,2735.9
2024/10/18,2750,2905,2683,2900.7
2024/10/21,2870,3222,2850,3197.7
2024/10/22,3150,3203.2,3011,3015.5
2024/10/23,3050,3105,2856,2979.8
2024/10/24,2971.2,3322,2932,3213.3
2024/10/25,3206.8,3295,3124.1,3200.9
2024/10/28,3247,3350,3172,3199.8
2024/10/29,2900,3088,2890,2999
2024/10/30,2969.9,3139,2938,3133
2024/10/31,3078.1,3237.8,3078.1,3227.4
2024/11/1,3238,3258,3133,3152.1
2024/11/4,2820,2939.9,2744.3,2794.1
2024/11/5,2830,3145.8,2802.6,3071
2024/11/6,3022.5,3090,2929,3014.1
2024/11/7,3033,3296,3030,3270.9
2024/11/8,3322,3471.8,3250,3320.6
2024/11/11,3299,3426,2961.2,3244
2024/11/12,3244,3308.4,2972.1,3159.9
2024/11/13,3166.3,3235,3075,3180
2024/11/14,3268,3268,3051.3,3095
2024/11/15,3182,3293,3102,3290
2024/11/18,3250,3337.9,3201,3240
2024/11/19,3258,3318,3168,3287.3
2024/11/20,3350,3398,3258,3329
2024/11/21,3330.1,3360,3130,3293.9
2024/11/22,3308,3337,3187.8,3224.1
2024/11/25,3220,3220,2722.1,2722.1
2024/11/26,2701,2819,2622,2690
2024/11/27,2650,2941,2494.2,2736
2024/11/28,2700,2765.6,2624.9,2627
2024/11/29,2600,2680,2505,2546
2024/12/2,2602,2828,2601,2810
2024/12/3,2805,2847.8,2668.8,2710
2024/12/4,2670,2680,2558,2649
2024/12/5,2643.6,2717,2575,2660
2024/12/6,2610,2665,2563,2642.5
2024/12/9,2635,2730,2505,2505
2024/12/10,2580,2616.1,2460,2535
2024/12/11,2570,2586,2406,2447.7
2024/12/12,2429,2478,2369,2460
2024/12/13,2501,2609,2467,2587.5
2024/12/16,2569.9,2657.4,2471.4,2629
2024/12/17,2650,2650.1,2566,2580.1
2024/12/18,2585.2,2676,2507,2663
2024/12/19,2600,2695,2502,2528.5
2024/12/20,2510,2562.8,2460,2538
2024/12/23,2558,2610,2530.1,2584.2
2024/12/24,2579.9,2588,2410,2439.2
2024/12/25,2418,2478,2390,2437.9
2024/12/26,2440,2488,2360.3,2373
2024/12/27,2373,2417.6,2342,2389.8
2024/12/30,2388,2388,2225.8,2237.5
2024/12/31,2248.7,2275,2208,2257
2025/1/2,2269,2332.9,2188,2224.7
2025/1/3,2218,2224.4,2050,2131
2025/1/6,2109,2129.2,2007.6,2032.5
2025/1/7,2013.9,2070,1975,2026.1
2025/1/8,2041,2059.6,1943.5,1980
2025/1/9,1970.6,2099,1918,2056
2025/1/10,2011.9,2048,1982.6,1997
2025/1/13,1966.9,2055,1947,2020.9
2025/1/14,2000,2082,1994,2045
2025/1/15,1274.5,1312.7,1227,1230.8
2025/1/16,1210,1253.2,1163,1240.2
2025/1/17,1241,1288,1184.1,1228.3
2025/1/20,1228,1286.8,1203,1249.2
2025/1/21,1265,1375,1251.7,1373.3
2025/1/22,1373.3,1490.5,1362,1484.1
2025/1/23,1495,1520,1403.4,1447.8
2025/1/24,1456.2,1475.8,1417,1431.8
2025/1/27,1433.1,1544,1433.1,1520
2025/2/5,1449,1451,1361.1,1373.6
2025/2/6,1358,1507,1350,1473
2025/2/7,1462.2,1659.6,1460,1659.6
2025/2/10,1627,1878,1626,1826
2025/2/11,1865,1888.8,1768.1,1851.2
2025/2/12,1868,1940,1741.4,1819.3
2025/2/13,1821,1901.8,1702,1870.3
2025/2/14,1900,2088.1,1878,2088.1
2025/2/17,2100,2164,1945.3,2010.8
